127.0.0.1 - - [19/Oct/2020:09:49:59 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:50:00 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 500 3366
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:51:04 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 200 2738
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:51:04 -0300] "GET /TCC_AGORA/faces/include/js/bootstrap.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:51:04 -0300] "GET /TCC_AGORA/faces/include/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:52:04 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 200 2754
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:52:04 -0300] "GET /TCC_AGORA/faces/include/css/bootstrap.min.css HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:52:04 -0300] "GET /TCC_AGORA/faces/include/js/bootstrap.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:53:43 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 500 3312
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:53:58 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 500 3312
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:54:04 -0300] "GET /TCC_AGORA/faces/include/menuSuperior.xhtml HTTP/1.1" 500 3312
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:14 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:14 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:14 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:21 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:21 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:21 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:55:21 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:26 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:26 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:26 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:28 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:28 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:28 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:35 -0300] "GET /TCC_AGORA/include/padrao.html HTTP/1.1" 200 2682
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:35 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:56:35 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:57:22 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 2670
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:57:22 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:57:22 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:14 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 4367
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:14 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:14 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:14 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:14 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:04 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:04 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:04 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:04 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:04 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:12 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:01 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:02 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:29 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:29 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:29 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:29 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:29 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/menuSuperior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/css/bootstrap.min.css HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/css/estilo.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/imagens/img_pao1_menu.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:01:30 -0300] "GET /TCC_AGORA/include/js/bootstrap.min.js HTTP/1.1" 404 800
