127.0.0.1 - - [07/Nov/2020:10:14:42 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:46 -0300] "GET /TCC_AGORA/faces/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:46 -0300] "GET /TCC_AGORA/faces/Login.xhtml HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:46 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:47 -0300] "GET /TCC_AGORA/faces/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:47 -0300] "GET /TCC_AGORA/faces/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:47 -0300] "GET /TCC_AGORA/faces/img/origem-trigo-scaled.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:51 -0300] "GET /TCC_AGORA/faces/Login.xhtml HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/css/CadastroCliente.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/css/estilo.css HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/css/style.css HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/css/bootstrap.min.css HTTP/1.1" 200 142047
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/img/Logo_Padaria.png HTTP/1.1" 200 220383
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:52 -0300] "GET /TCC_AGORA/faces/img/origem-trigo-scaled.jpeg HTTP/1.1" 200 472621
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:14:57 -0300] "POST /TCC_AGORA/faces/ControlLogin HTTP/1.1" 302 -
